"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
553,0.07,178532.58,9695200.93,0,0.07
554,0.11,188532.58,9695200.93,0,0.18
555,0.09,198532.58,9695200.93,0,0.27
600,0.12,188532.58,9685200.93,0,0.39
601,0.12,198532.58,9685200.93,0,0.5
602,0.11,208532.58,9685200.93,0,0.62
603,0.11,218532.58,9685200.93,0,0.73
604,0.07,228532.58,9685200.93,0,0.8
647,0.12,198532.58,9675200.93,0,0.91
648,0.12,208532.58,9675200.93,0,1.03
649,0.11,218532.58,9675200.93,0,1.14
650,0.07,228532.58,9675200.93,0,1.21
693,0.08,198532.58,9665200.93,0,1.29
694,0.09,208532.58,9665200.93,0,1.38
695,0.11,218532.58,9665200.93,0,1.49
696,0.11,228532.58,9665200.93,0,1.6
697,0.08,238532.58,9665200.93,0,1.68
742,0.11,228532.58,9655200.93,0,1.8
788,0.12,228532.58,9645200.93,0,1.91
835,0.1,238532.58,9635200.93,0,2.02
1207,0.06,278532.58,9555200.93,0,2.07
1208,0.08,288532.58,9555200.93,0,2.15
1349,0.07,318532.58,9525200.93,0,2.22
1350,0.1,328532.58,9525200.93,0,2.32
1352,0.1,348532.58,9525200.93,0,2.41
1117,0.07,298532.58,9575200.93,1.31,2.48
1118,0.07,308532.58,9575200.93,1.56,2.55
1397,0.09,338532.58,9515200.93,1.8,2.65
743,0.09,238532.58,9655200.93,4.08,2.74
1301,0.07,298532.58,9535200.93,5,2.81
1303,0.07,318532.58,9535200.93,5.1,2.87
1302,0.08,308532.58,9535200.93,5.82,2.95
1168,0.04,348532.58,9565200.93,9.6,2.99
1587,0.02,398532.58,9475200.93,11.78,3.01
1119,0.04,318532.58,9575200.93,13.61,3.05
1306,0.06,348532.58,9535200.93,16.06,3.11
1633,0.02,398532.58,9465200.93,18.55,3.12
1308,0.04,368532.58,9535200.93,18.96,3.16
1355,0.03,378532.58,9525200.93,19.35,3.19
1214,0.03,348532.58,9555200.93,20.83,3.22
1300,0.01,288532.58,9535200.93,23.44,3.23
1586,0.01,388532.58,9475200.93,25,3.24
1492,0.01,368532.58,9495200.93,28.12,3.25
1259,0.05,338532.58,9545200.93,28.4,3.3
789,0.08,238532.58,9645200.93,31.18,3.37
1448,0.01,388532.58,9505200.93,37.5,3.38
1260,0.01,348532.58,9545200.93,37.66,3.39
1634,0.01,408532.58,9465200.93,47.25,3.4
1536,0,348532.58,9485200.93,47.71,3.4
940,0,368532.58,9615200.93,48.18,3.4
1114,0,268532.58,9575200.93,48.65,3.4
1166,0,328532.58,9565200.93,49.11,3.4
1167,0,338532.58,9565200.93,49.58,3.4
652,0,248532.58,9675200.93,50.05,3.4
1205,0,258532.58,9555200.93,50.51,3.4
1347,0,298532.58,9525200.93,50.98,3.4
513,0,238532.58,9705200.93,51.45,3.4
1065,0,238532.58,9585200.93,51.92,3.4
1069,0,278532.58,9585200.93,52.38,3.4
1265,0,398532.58,9545200.93,52.85,3.4
1401,0,378532.58,9515200.93,53.32,3.4
1346,0,288532.58,9525200.93,53.78,3.4
1631,0,378532.58,9465200.93,54.25,3.4
937,0,338532.58,9615200.93,54.72,3.4
1447,0,378532.58,9505200.93,55.18,3.4
1310,0,388532.58,9535200.93,55.65,3.4
1493,0,378532.58,9495200.93,56.12,3.4
1590,0,428532.58,9475200.93,56.58,3.4
1215,0,358532.58,9555200.93,57.05,3.41
1635,0,418532.58,9465200.93,57.52,3.41
1264,0,388532.58,9545200.93,57.98,3.41
1356,0,388532.58,9525200.93,58.45,3.41
1445,0,358532.58,9505200.93,58.92,3.41
881,0,238532.58,9625200.93,59.38,3.41
1254,0,288532.58,9545200.93,59.85,3.41
1169,0,358532.58,9565200.93,60.32,3.41
1261,0,358532.58,9545200.93,60.79,3.41
1632,0,388532.58,9465200.93,61.25,3.41
1158,0,248532.58,9565200.93,61.72,3.41
1024,0,288532.58,9595200.93,62.19,3.42
1299,0,278532.58,9535200.93,62.65,3.42
1112,0,248532.58,9575200.93,63.12,3.42
1163,0,298532.58,9565200.93,63.59,3.42
983,0,338532.58,9605200.93,64.05,3.42
1111,0,238532.58,9575200.93,64.52,3.42
1159,0,258532.58,9565200.93,64.99,3.42
1354,0,368532.58,9525200.93,65.45,3.43
1120,0,328532.58,9575200.93,65.92,3.43
1255,0,298532.58,9545200.93,66.39,3.43
1071,0,298532.58,9585200.93,66.85,3.43
833,0,218532.58,9635200.93,67.32,3.43
1162,0,288532.58,9565200.93,67.79,3.44
1253,0,278532.58,9545200.93,68.25,3.44
511,0,218532.58,9705200.93,68.72,3.44
1443,0,338532.58,9505200.93,69.19,3.44
1584,0,368532.58,9475200.93,69.66,3.45
1213,0,338532.58,9555200.93,70.12,3.45
1636,0,428532.58,9465200.93,70.59,3.45
692,0,188532.58,9665200.93,71.06,3.46
1491,0,358532.58,9495200.93,71.52,3.46
1630,0,368532.58,9465200.93,71.99,3.46
1488,0,328532.58,9495200.93,72.46,3.47
1538,0,368532.58,9485200.93,72.92,3.47
1399,0,358532.58,9515200.93,73.39,3.48
1537,0,358532.58,9485200.93,73.86,3.48
977,0,278532.58,9605200.93,74.32,3.49
1540,0.01,388532.58,9485200.93,74.79,3.49
1541,0.01,398532.58,9485200.93,75.26,3.5
651,0.01,238532.58,9675200.93,75.72,3.51
1252,0.01,268532.58,9545200.93,76.19,3.51
1490,0.01,348532.58,9495200.93,76.66,3.52
1588,0.01,408532.58,9475200.93,77.12,3.52
1070,0.01,288532.58,9585200.93,77.59,3.53
1116,0.01,288532.58,9575200.93,78.06,3.54
1402,0.01,388532.58,9515200.93,78.53,3.55
1257,0.01,318532.58,9545200.93,78.99,3.55
1256,0.01,308532.58,9545200.93,79.46,3.56
1353,0.01,358532.58,9525200.93,79.93,3.57
1583,0.01,358532.58,9475200.93,80.39,3.58
512,0.01,228532.58,9705200.93,80.86,3.59
557,0.01,218532.58,9695200.93,81.33,3.6
1585,0.01,378532.58,9475200.93,81.79,3.61
1348,0.01,308532.58,9525200.93,82.26,3.62
1165,0.01,318532.58,9565200.93,82.73,3.63
1206,0.01,268532.58,9555200.93,83.19,3.65
1539,0.01,378532.58,9485200.93,83.66,3.66
1209,0.01,298532.58,9555200.93,84.13,3.67
1441,0.01,318532.58,9505200.93,84.59,3.68
1164,0.01,308532.58,9565200.93,85.06,3.7
1307,0.01,358532.58,9535200.93,85.53,3.71
1442,0.01,328532.58,9505200.93,85.99,3.72
508,0.01,188532.58,9705200.93,86.46,3.74
1395,0.01,318532.58,9515200.93,86.93,3.75
1022,0.02,268532.58,9595200.93,87.4,3.77
744,0.02,248532.58,9655200.93,87.86,3.78
975,0.02,258532.58,9605200.93,88.33,3.8
1305,0.02,338532.58,9535200.93,88.8,3.81
1444,0.02,348532.58,9505200.93,89.26,3.83
1161,0.02,278532.58,9565200.93,89.73,3.85
558,0.02,228532.58,9695200.93,90.2,3.87
510,0.02,208532.58,9705200.93,90.66,3.88
1160,0.02,268532.58,9565200.93,91.13,3.9
698,0.02,248532.58,9665200.93,91.6,3.92
790,0.02,248532.58,9645200.93,92.06,3.94
836,0.02,248532.58,9635200.93,92.53,3.96
787,0.02,218532.58,9645200.93,93,3.99
1258,0.02,328532.58,9545200.93,93.46,4.01
1489,0.02,338532.58,9495200.93,93.93,4.03
976,0.03,268532.58,9605200.93,94.4,4.06
556,0.03,208532.58,9695200.93,94.86,4.09
741,0.04,218532.58,9655200.93,95.33,4.13
599,0.04,178532.58,9685200.93,95.8,4.17
1309,0.05,378532.58,9535200.93,96.27,4.22
646,0.05,188532.58,9675200.93,96.73,4.26
1398,0.05,348532.58,9515200.93,97.2,4.31
1351,0.05,338532.58,9525200.93,97.67,4.37
509,0.05,198532.58,9705200.93,98.13,4.42
1396,0.06,328532.58,9515200.93,98.6,4.47
1304,0.06,328532.58,9535200.93,99.07,4.53
834,0.06,228532.58,9635200.93,99.53,4.6
834,100,228532.58,9635200.93,100,4.6
