"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
553,0.07,178532.58,9695200.93,0,0.07
554,0.11,188532.58,9695200.93,0,0.18
555,0.09,198532.58,9695200.93,0,0.28
600,0.12,188532.58,9685200.93,0,0.39
601,0.12,198532.58,9685200.93,0,0.51
602,0.11,208532.58,9685200.93,0,0.62
603,0.11,218532.58,9685200.93,0,0.73
604,0.07,228532.58,9685200.93,0,0.81
647,0.12,198532.58,9675200.93,0,0.92
648,0.12,208532.58,9675200.93,0,1.04
649,0.11,218532.58,9675200.93,0,1.15
650,0.07,228532.58,9675200.93,0,1.22
693,0.08,198532.58,9665200.93,0,1.3
694,0.09,208532.58,9665200.93,0,1.39
695,0.11,218532.58,9665200.93,0,1.5
696,0.11,228532.58,9665200.93,0,1.62
697,0.08,238532.58,9665200.93,0,1.7
742,0.12,228532.58,9655200.93,0,1.82
743,0.1,238532.58,9655200.93,0,1.92
788,0.12,228532.58,9645200.93,0,2.03
835,0.1,238532.58,9635200.93,0,2.14
1117,0.09,298532.58,9575200.93,0,2.22
1207,0.08,278532.58,9555200.93,0,2.3
1208,0.09,288532.58,9555200.93,0,2.39
1301,0.09,298532.58,9535200.93,0,2.49
1308,0.07,368532.58,9535200.93,0,2.56
1349,0.07,318532.58,9525200.93,0,2.63
1350,0.1,328532.58,9525200.93,0,2.73
1352,0.1,348532.58,9525200.93,0,2.84
1355,0.08,378532.58,9525200.93,0,2.92
1397,0.11,338532.58,9515200.93,0,3.03
1118,0.09,308532.58,9575200.93,0.43,3.12
1585,0.05,378532.58,9475200.93,0.43,3.17
1303,0.08,318532.58,9535200.93,1.5,3.25
1587,0.05,398532.58,9475200.93,2.58,3.3
1168,0.06,348532.58,9565200.93,3.12,3.36
1306,0.07,348532.58,9535200.93,3.71,3.43
1070,0.04,288532.58,9585200.93,4.08,3.47
1029,0.01,338532.58,9595200.93,4.69,3.48
1300,0.07,288532.58,9535200.93,4.91,3.55
1312,0.01,408532.58,9535200.93,6.25,3.56
1404,0.05,408532.58,9515200.93,6.78,3.6
567,0,318532.58,9695200.93,7.03,3.6
1491,0.03,358532.58,9495200.93,7.44,3.63
1357,0.02,398532.58,9525200.93,7.74,3.65
1358,0.05,408532.58,9525200.93,7.81,3.7
1538,0.04,368532.58,9485200.93,7.95,3.73
1307,0.06,358532.58,9535200.93,8.93,3.8
1537,0.03,358532.58,9485200.93,10.24,3.82
1492,0.05,368532.58,9495200.93,10.31,3.87
1449,0.01,398532.58,9505200.93,10.66,3.88
1586,0.03,388532.58,9475200.93,14.24,3.91
1448,0.03,388532.58,9505200.93,18.3,3.94
1214,0.05,348532.58,9555200.93,18.4,3.98
430,0,328532.58,9725200.93,19.53,3.98
1030,0.02,348532.58,9595200.93,19.94,4.01
1540,0.02,388532.58,9485200.93,25.52,4.02
1027,0,318532.58,9595200.93,28.44,4.03
1402,0.04,388532.58,9515200.93,29.34,4.06
1445,0.02,358532.58,9505200.93,30.52,4.09
982,0,328532.58,9605200.93,31.42,4.09
1354,0.03,368532.58,9525200.93,31.67,4.12
1254,0.03,288532.58,9545200.93,34.72,4.15
155,0,338532.58,9785200.93,34.97,4.15
296,0,368532.58,9755200.93,35.22,4.15
427,0,298532.58,9725200.93,35.46,4.15
471,0,278532.58,9715200.93,35.71,4.15
521,0,318532.58,9705200.93,35.96,4.15
562,0,268532.58,9695200.93,36.21,4.15
564,0,288532.58,9695200.93,36.45,4.15
654,0,268532.58,9675200.93,36.7,4.15
656,0,288532.58,9675200.93,36.95,4.15
664,0,368532.58,9675200.93,37.19,4.15
750,0,308532.58,9655200.93,37.44,4.15
796,0,308532.58,9645200.93,37.69,4.15
839,0,278532.58,9635200.93,37.94,4.15
944,0,408532.58,9615200.93,38.18,4.15
994,0,448532.58,9605200.93,38.43,4.15
1192,0,588532.58,9565200.93,38.68,4.15
157,0,358532.58,9785200.93,38.93,4.15
203,0,358532.58,9775200.93,39.17,4.15
514,0,248532.58,9705200.93,39.42,4.15
563,0,278532.58,9695200.93,39.67,4.15
667,0,398532.58,9675200.93,39.91,4.15
745,0,258532.58,9655200.93,40.16,4.15
843,0,318532.58,9635200.93,40.41,4.15
888,0,308532.58,9625200.93,40.66,4.15
889,0,318532.58,9625200.93,40.9,4.15
1042,0,468532.58,9595200.93,41.15,4.15
1097,0,558532.58,9585200.93,41.4,4.15
1315,0,438532.58,9535200.93,41.65,4.15
620,0,388532.58,9685200.93,41.89,4.15
846,0,348532.58,9635200.93,42.14,4.15
850,0,388532.58,9635200.93,42.39,4.15
990,0,408532.58,9605200.93,42.63,4.15
1036,0,408532.58,9595200.93,42.88,4.15
1072,0,308532.58,9585200.93,43.13,4.15
616,0,348532.58,9685200.93,43.38,4.15
1046,0,508532.58,9595200.93,43.62,4.15
1092,0,508532.58,9585200.93,43.87,4.15
1145,0,578532.58,9575200.93,44.12,4.15
1190,0,568532.58,9565200.93,44.37,4.15
1236,0,568532.58,9555200.93,44.61,4.15
619,0,378532.58,9685200.93,44.86,4.15
746,0,268532.58,9655200.93,45.11,4.15
842,0,308532.58,9635200.93,45.35,4.15
936,0,328532.58,9615200.93,45.6,4.15
378,0,268532.58,9735200.93,45.85,4.15
606,0,248532.58,9685200.93,46.1,4.15
711,0,378532.58,9665200.93,46.34,4.15
712,0,388532.58,9665200.93,46.59,4.15
333,0,278532.58,9745200.93,46.84,4.15
519,0,298532.58,9705200.93,47.09,4.15
652,0,248532.58,9675200.93,47.33,4.15
331,0,258532.58,9745200.93,47.58,4.15
1134,0,468532.58,9575200.93,47.83,4.15
1452,0,428532.58,9505200.93,48.07,4.15
467,0,238532.58,9715200.93,48.32,4.15
605,0,238532.58,9685200.93,48.57,4.15
935,0,318532.58,9615200.93,48.82,4.15
1347,0,298532.58,9525200.93,49.06,4.15
749,0,298532.58,9655200.93,49.31,4.15
792,0,268532.58,9645200.93,49.56,4.15
391,0,398532.58,9735200.93,49.81,4.15
468,0,248532.58,9715200.93,50.05,4.15
1020,0,248532.58,9595200.93,50.3,4.15
1144,0,568532.58,9575200.93,50.55,4.15
885,0,278532.58,9625200.93,50.79,4.15
559,0,238532.58,9695200.93,51.04,4.15
573,0,378532.58,9695200.93,51.29,4.15
1114,0,268532.58,9575200.93,51.54,4.15
295,0,358532.58,9755200.93,51.78,4.15
377,0,258532.58,9735200.93,52.03,4.15
472,0,288532.58,9715200.93,52.28,4.15
892,0,348532.58,9625200.93,52.53,4.15
513,0,238532.58,9705200.93,52.77,4.15
993,0,438532.58,9605200.93,53.02,4.15
520,0,308532.58,9705200.93,53.27,4.15
986,0,368532.58,9605200.93,53.51,4.15
666,0,388532.58,9675200.93,53.76,4.15
1263,0,378532.58,9545200.93,54.01,4.15
1065,0,238532.58,9585200.93,54.26,4.15
937,0,338532.58,9615200.93,54.5,4.16
1216,0,368532.58,9555200.93,54.75,4.16
518,0,288532.58,9705200.93,55,4.16
1146,0,588532.58,9575200.93,55.25,4.16
938,0,348532.58,9615200.93,55.49,4.16
983,0,338532.58,9605200.93,55.74,4.16
1210,0,308532.58,9555200.93,55.99,4.16
665,0,378532.58,9675200.93,56.23,4.16
1124,0,368532.58,9575200.93,56.48,4.16
895,0,378532.58,9625200.93,56.73,4.16
1077,0,358532.58,9585200.93,56.98,4.16
1074,0,328532.58,9585200.93,57.22,4.16
332,0,268532.58,9745200.93,57.47,4.16
838,0,268532.58,9635200.93,57.72,4.16
848,0,368532.58,9635200.93,57.97,4.16
991,0,418532.58,9605200.93,58.21,4.16
1451,0,418532.58,9505200.93,58.46,4.16
1140,0,528532.58,9575200.93,58.71,4.16
1493,0,378532.58,9495200.93,58.95,4.16
1076,0,348532.58,9585200.93,59.2,4.17
1590,0,428532.58,9475200.93,59.45,4.17
881,0,238532.58,9625200.93,59.7,4.17
1346,0,288532.58,9525200.93,59.94,4.17
1094,0,528532.58,9585200.93,60.19,4.17
1406,0,428532.58,9515200.93,60.44,4.17
941,0,378532.58,9615200.93,60.68,4.17
802,0,368532.58,9645200.93,60.93,4.17
1021,0,258532.58,9595200.93,61.18,4.17
1221,0,418532.58,9555200.93,61.43,4.17
756,0,368532.58,9655200.93,61.67,4.18
1083,0,418532.58,9585200.93,61.92,4.18
1122,0,348532.58,9575200.93,62.17,4.18
1632,0,388532.58,9465200.93,62.42,4.18
1631,0,378532.58,9465200.93,62.66,4.18
803,0,378532.58,9645200.93,62.91,4.18
1217,0,378532.58,9555200.93,63.16,4.18
1222,0,428532.58,9555200.93,63.4,4.19
1360,0,428532.58,9525200.93,63.65,4.19
849,0,378532.58,9635200.93,63.9,4.19
791,0,258532.58,9645200.93,64.15,4.19
1167,0,338532.58,9565200.93,64.39,4.19
884,0,268532.58,9625200.93,64.64,4.19
1313,0,418532.58,9535200.93,64.89,4.2
1536,0,348532.58,9485200.93,65.14,4.2
931,0,278532.58,9615200.93,65.38,4.2
833,0,218532.58,9635200.93,65.63,4.2
1130,0,428532.58,9575200.93,65.88,4.2
1205,0,258532.58,9555200.93,66.12,4.21
1174,0,408532.58,9565200.93,66.37,4.21
1032,0,368532.58,9595200.93,66.62,4.21
1069,0,278532.58,9585200.93,66.87,4.21
1262,0,368532.58,9545200.93,67.11,4.22
1266,0,408532.58,9545200.93,67.36,4.22
1075,0,338532.58,9585200.93,67.61,4.22
1166,0,328532.58,9565200.93,67.86,4.22
1088,0,468532.58,9585200.93,68.1,4.23
1447,0,378532.58,9505200.93,68.35,4.23
1635,0,418532.58,9465200.93,68.6,4.23
511,0,218532.58,9705200.93,68.84,4.24
1264,0,388532.58,9545200.93,69.09,4.24
893,0,358532.58,9625200.93,69.34,4.24
978,0,288532.58,9605200.93,69.59,4.24
1037,0,418532.58,9595200.93,69.83,4.25
1314,0,428532.58,9535200.93,70.08,4.25
1158,0,248532.58,9565200.93,70.33,4.25
1171,0,378532.58,9565200.93,70.58,4.26
692,0,188532.58,9665200.93,70.82,4.26
1176,0,428532.58,9565200.93,71.07,4.27
1401,0,378532.58,9515200.93,71.32,4.27
1112,0,248532.58,9575200.93,71.56,4.27
1310,0,388532.58,9535200.93,71.81,4.28
847,0,358532.58,9635200.93,72.06,4.28
1267,0,418532.58,9545200.93,72.31,4.29
1215,0,358532.58,9555200.93,72.55,4.29
1543,0,418532.58,9485200.93,72.8,4.29
1129,0,418532.58,9575200.93,73.05,4.3
1311,0,398532.58,9535200.93,73.3,4.3
1111,0,238532.58,9575200.93,73.54,4.31
934,0,308532.58,9615200.93,73.79,4.31
1299,0.01,278532.58,9535200.93,74.04,4.32
1162,0.01,288532.58,9565200.93,74.28,4.32
1026,0.01,308532.58,9595200.93,74.53,4.33
837,0.01,258532.58,9635200.93,74.78,4.34
1175,0.01,418532.58,9565200.93,75.03,4.34
1163,0.01,298532.58,9565200.93,75.27,4.35
1024,0.01,288532.58,9595200.93,75.52,4.35
1115,0.01,278532.58,9575200.93,75.77,4.36
651,0.01,238532.58,9675200.93,76.02,4.37
1636,0.01,428532.58,9465200.93,76.26,4.37
1071,0.01,298532.58,9585200.93,76.51,4.38
1356,0.01,388532.58,9525200.93,76.76,4.39
1265,0.01,398532.58,9545200.93,77,4.39
1169,0.01,358532.58,9565200.93,77.25,4.4
1443,0.01,338532.58,9505200.93,77.5,4.41
1588,0.01,408532.58,9475200.93,77.75,4.42
1120,0.01,328532.58,9575200.93,77.99,4.43
1028,0.01,328532.58,9595200.93,78.24,4.44
992,0.01,428532.58,9605200.93,78.49,4.45
1260,0.01,348532.58,9545200.93,78.74,4.46
1172,0.01,388532.58,9565200.93,78.98,4.47
1261,0.01,358532.58,9545200.93,79.23,4.48
1123,0.01,358532.58,9575200.93,79.48,4.48
939,0.01,358532.58,9615200.93,79.72,4.49
1084,0.01,428532.58,9585200.93,79.97,4.5
1630,0.01,368532.58,9465200.93,80.22,4.51
940,0.01,368532.58,9615200.93,80.47,4.52
512,0.01,228532.58,9705200.93,80.71,4.53
932,0.01,288532.58,9615200.93,80.96,4.55
981,0.01,318532.58,9605200.93,81.21,4.56
933,0.01,298532.58,9615200.93,81.46,4.57
1213,0.01,338532.58,9555200.93,81.7,4.58
1348,0.01,308532.58,9525200.93,81.95,4.59
557,0.01,218532.58,9695200.93,82.2,4.6
1488,0.01,328532.58,9495200.93,82.44,4.61
1252,0.01,268532.58,9545200.93,82.69,4.63
980,0.01,308532.58,9605200.93,82.94,4.64
1359,0.01,418532.58,9525200.93,83.19,4.65
508,0.01,188532.58,9705200.93,83.43,4.67
979,0.01,298532.58,9605200.93,83.68,4.68
1255,0.01,298532.58,9545200.93,83.93,4.7
1405,0.01,418532.58,9515200.93,84.18,4.71
1541,0.01,398532.58,9485200.93,84.42,4.73
1584,0.01,368532.58,9475200.93,84.67,4.74
985,0.02,358532.58,9605200.93,84.92,4.76
1441,0.02,318532.58,9505200.93,85.16,4.77
744,0.02,248532.58,9655200.93,85.41,4.79
1031,0.02,358532.58,9595200.93,85.66,4.8
1395,0.02,318532.58,9515200.93,85.91,4.82
1023,0.02,278532.58,9595200.93,86.15,4.83
1257,0.02,318532.58,9545200.93,86.4,4.85
1253,0.02,278532.58,9545200.93,86.65,4.87
1256,0.02,308532.58,9545200.93,86.89,4.89
1206,0.02,268532.58,9555200.93,87.14,4.9
1219,0.02,398532.58,9555200.93,87.39,4.92
1209,0.02,298532.58,9555200.93,87.64,4.94
510,0.02,208532.58,9705200.93,87.88,4.96
894,0.02,368532.58,9625200.93,88.13,4.98
558,0.02,228532.58,9695200.93,88.38,4.99
984,0.02,348532.58,9605200.93,88.63,5.01
698,0.02,248532.58,9665200.93,88.87,5.03
1305,0.02,338532.58,9535200.93,89.12,5.05
1633,0.02,398532.58,9465200.93,89.37,5.07
790,0.02,248532.58,9645200.93,89.61,5.1
787,0.02,218532.58,9645200.93,89.86,5.12
1159,0.02,258532.58,9565200.93,90.11,5.14
1399,0.02,358532.58,9515200.93,90.36,5.16
1220,0.02,408532.58,9555200.93,90.6,5.19
1218,0.02,388532.58,9555200.93,90.85,5.21
836,0.02,248532.58,9635200.93,91.1,5.23
1634,0.02,408532.58,9465200.93,91.35,5.26
1583,0.03,358532.58,9475200.93,91.59,5.29
1442,0.03,328532.58,9505200.93,91.84,5.31
1497,0.03,418532.58,9495200.93,92.09,5.34
1161,0.03,278532.58,9565200.93,92.33,5.37
1258,0.03,328532.58,9545200.93,92.58,5.4
976,0.03,268532.58,9605200.93,92.83,5.43
975,0.03,258532.58,9605200.93,93.08,5.46
1165,0.03,318532.58,9565200.93,93.32,5.49
1164,0.03,308532.58,9565200.93,93.57,5.53
1038,0.03,428532.58,9595200.93,93.82,5.56
1490,0.03,348532.58,9495200.93,94.07,5.59
1160,0.03,268532.58,9565200.93,94.31,5.62
1022,0.03,268532.58,9595200.93,94.56,5.66
977,0.04,278532.58,9605200.93,94.81,5.7
741,0.04,218532.58,9655200.93,95.05,5.73
1489,0.04,338532.58,9495200.93,95.3,5.77
556,0.04,208532.58,9695200.93,95.55,5.81
1444,0.04,348532.58,9505200.93,95.8,5.86
1353,0.04,358532.58,9525200.93,96.04,5.9
599,0.04,178532.58,9685200.93,96.29,5.94
646,0.05,188532.58,9675200.93,96.54,5.99
1116,0.05,288532.58,9575200.93,96.79,6.04
1539,0.05,378532.58,9485200.93,97.03,6.09
509,0.05,198532.58,9705200.93,97.28,6.14
1119,0.06,318532.58,9575200.93,97.53,6.2
1351,0.06,338532.58,9525200.93,97.77,6.26
834,0.06,228532.58,9635200.93,98.02,6.33
1304,0.07,328532.58,9535200.93,98.27,6.4
1396,0.07,328532.58,9515200.93,98.52,6.47
1259,0.07,338532.58,9545200.93,98.76,6.54
1309,0.08,378532.58,9535200.93,99.01,6.62
789,0.08,238532.58,9645200.93,99.26,6.7
1398,0.09,348532.58,9515200.93,99.51,6.79
1302,0.1,308532.58,9535200.93,99.75,6.89
1302,100,308532.58,9535200.93,100,6.89
