"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
863,0.01,518532.58,9635200.93,11.88,0.01
909,0,518532.58,9625200.93,12.5,0.01
820,0.01,548532.58,9645200.93,13.67,0.02
772,0,528532.58,9655200.93,19.69,0.02
118,0.01,428532.58,9795200.93,20.31,0.03
729,0,558532.58,9665200.93,20.31,0.03
71,0.04,418532.58,9805200.93,22.37,0.07
546,0.01,568532.58,9705200.93,26.53,0.08
117,0.03,418532.58,9795200.93,26.98,0.1
866,0,548532.58,9635200.93,30.21,0.11
69,0,398532.58,9805200.93,31.64,0.11
728,0.03,548532.58,9665200.93,32.6,0.13
402,0.01,508532.58,9735200.93,35.56,0.14
400,0,488532.58,9735200.93,36.47,0.14
253,0,398532.58,9765200.93,58.51,0.14
113,0,378532.58,9795200.93,58.91,0.14
212,0,448532.58,9775200.93,59.32,0.14
484,0,408532.58,9715200.93,59.73,0.14
558,0,228532.58,9695200.93,60.13,0.14
575,0,398532.58,9695200.93,60.54,0.15
577,0,418532.58,9695200.93,60.95,0.15
684,0,568532.58,9675200.93,61.35,0.15
712,0,388532.58,9665200.93,61.76,0.15
746,0,268532.58,9655200.93,62.17,0.15
933,0,298532.58,9615200.93,62.57,0.15
958,0,548532.58,9615200.93,62.98,0.15
981,0,318532.58,9605200.93,63.39,0.15
983,0,338532.58,9605200.93,63.8,0.15
1008,0,588532.58,9605200.93,64.2,0.15
1090,0,488532.58,9585200.93,64.61,0.15
1444,0,348532.58,9505200.93,65.02,0.15
1490,0,348532.58,9495200.93,65.42,0.15
248,0,348532.58,9765200.93,65.83,0.15
302,0,428532.58,9755200.93,66.24,0.15
306,0,468532.58,9755200.93,66.64,0.15
683,0,558532.58,9675200.93,67.05,0.15
717,0,438532.58,9665200.93,67.46,0.15
745,0,258532.58,9655200.93,67.86,0.15
756,0,368532.58,9655200.93,68.27,0.15
846,0,348532.58,9635200.93,68.68,0.15
954,0,508532.58,9615200.93,69.08,0.15
1261,0,358532.58,9545200.93,69.49,0.15
1307,0,358532.58,9535200.93,69.9,0.15
441,0,438532.58,9725200.93,70.3,0.15
713,0,398532.58,9665200.93,70.71,0.15
934,0,308532.58,9615200.93,71.12,0.15
956,0,528532.58,9615200.93,71.52,0.15
932,0,288532.58,9615200.93,71.93,0.15
68,0,388532.58,9805200.93,72.34,0.15
115,0,398532.58,9795200.93,72.74,0.15
911,0,538532.58,9625200.93,73.15,0.15
1007,0,578532.58,9605200.93,73.56,0.15
490,0,468532.58,9715200.93,73.97,0.15
587,0,518532.58,9695200.93,74.37,0.15
791,0,258532.58,9645200.93,74.78,0.15
955,0,518532.58,9615200.93,75.19,0.15
446,0,488532.58,9725200.93,75.59,0.15
910,0,528532.58,9625200.93,76,0.15
398,0,468532.58,9735200.93,76.41,0.15
726,0,528532.58,9665200.93,76.81,0.15
907,0,498532.58,9625200.93,77.22,0.15
545,0,558532.58,9705200.93,77.63,0.15
636,0,548532.58,9685200.93,78.03,0.15
953,0,498532.58,9615200.93,78.44,0.15
354,0,488532.58,9745200.93,78.85,0.15
162,0,408532.58,9785200.93,79.25,0.15
534,0,448532.58,9705200.93,79.66,0.15
444,0,468532.58,9725200.93,80.07,0.15
590,0,548532.58,9695200.93,80.47,0.15
773,0,538532.58,9655200.93,80.88,0.15
350,0,448532.58,9745200.93,81.29,0.15
208,0,408532.58,9775200.93,81.69,0.15
864,0,528532.58,9635200.93,82.1,0.15
116,0,408532.58,9795200.93,82.51,0.15
580,0,448532.58,9695200.93,82.91,0.15
452,0,548532.58,9725200.93,83.32,0.15
997,0,478532.58,9605200.93,83.73,0.15
161,0,398532.58,9785200.93,84.14,0.15
303,0,438532.58,9755200.93,84.54,0.15
665,0,378532.58,9675200.93,84.95,0.15
399,0,478532.58,9735200.93,85.36,0.15
408,0,568532.58,9735200.93,85.76,0.15
404,0,528532.58,9735200.93,86.17,0.15
682,0,548532.58,9675200.93,86.58,0.15
27,0,438532.58,9815200.93,86.98,0.15
72,0,428532.58,9805200.93,87.39,0.16
258,0,448532.58,9765200.93,87.8,0.16
727,0,538532.58,9665200.93,88.2,0.16
207,0,398532.58,9775200.93,88.61,0.16
164,0,428532.58,9785200.93,89.02,0.16
666,0,388532.58,9675200.93,89.42,0.16
865,0,538532.58,9635200.93,89.83,0.16
397,0,458532.58,9735200.93,90.24,0.16
406,0,548532.58,9735200.93,90.64,0.16
440,0,428532.58,9725200.93,91.05,0.16
394,0,428532.58,9735200.93,91.46,0.16
357,0,518532.58,9745200.93,91.86,0.16
862,0,508532.58,9635200.93,92.27,0.17
407,0,558532.58,9735200.93,92.68,0.17
500,0,568532.58,9715200.93,93.08,0.17
454,0,568532.58,9725200.93,93.49,0.17
26,0,428532.58,9815200.93,93.9,0.17
163,0,418532.58,9785200.93,94.3,0.17
547,0,578532.58,9705200.93,94.71,0.18
908,0,508532.58,9625200.93,95.12,0.18
351,0,458532.58,9745200.93,95.53,0.18
24,0,408532.58,9815200.93,95.93,0.18
688,0,608532.58,9675200.93,96.34,0.19
635,0,538532.58,9685200.93,96.75,0.19
405,0,538532.58,9735200.93,97.15,0.2
774,0.01,548532.58,9655200.93,97.56,0.2
453,0.01,558532.58,9725200.93,97.97,0.21
70,0.01,408532.58,9805200.93,98.37,0.22
681,0.01,538532.58,9675200.93,98.78,0.23
403,0.02,518532.58,9735200.93,99.19,0.25
25,0.04,418532.58,9815200.93,99.59,0.29
25,100,418532.58,9815200.93,100,0.29
