ID,Ver3,NPV
1,Acacia,14350200
2,Mixed garden,5019195
3,Coffee agroforest,44558383
4,Rubber agroforest,8248008
5,Rubber monoculture,15885669
6,Oil palm,92053748
7,Coconut,24842031
8,Tea,34484851
9,Irrigated rice,65353641
10,Paddy field,65353641
11,Sugar cane,34484851
12,Other crops,34484851
