Kode I-O,Sektor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,180
1,Padi,325111.8251,0,0,0,0,0,0,0,0,0,0,0,0,32014.05612,0,0,0,0,0,0,0,0,9828.475019,0,0,0,0,0,0,0,0,0,0,0,0,366954.3562
2,Jagung,0,255.0313386,0,0,0,0,0,0,0,0,0,0,0,393.5957199,0,0,0,0,0,0,0,0,1593.994009,0,0,0,0,0,0,0,0,0,0,0,0,2242.621067
3,Tanaman Umbi-umbian,0,0,2046.287992,0,0,0,0,0,0,0,0,0,0,572.8974649,0,0,0,0,0,0,0,0,611.8100226,243.5788046,0,0,0,0,0,0,0,0,0,0,0,3474.574284
4,Tanaman Bahan Makanan lainnya,0,0,0,6253.36924,0,0,0,13048.59748,0,15937.87895,0,0,0,0,0,0,0,0,0,0,0,0,10753.04024,290.0092028,0,0,0,0,0,0,0,0,0,0,0,46282.89511
5,Karet,0,0,0,0,1299067.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5390.81308,0,0,0,0,0,0,0,0,0,0,0,0,1304458.136
6,Kopi,0,0,0,0,0,5830109.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830109.198
7,Kelapa Sawit,0,0,0,0,0,0,5771186.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.0505487,0,0,0,0,0,0,0,0,0,0,0,0,5772134.147
8,Peternakan dan Hasil-hasilnya,1140.966234,11.73314592,0,0,0,0,0,239985.0343,0,0,0,0,0,10508.19337,0,0,0,0,0,0,0,0,39522.19917,0,0,0,0,0,0,0,0,0,0,0,0,291168.1262
9,Kehutanan,0,0,0,0,0,0,0,0,122233.3691,0,0,0,0,0,8738617.229,0,0,0,0,0,0,70808.08365,0,0,0,0,0,0,0,0,0,0,0,0,0,8931658.681
10,Perikanan,0,0,0,0,0,0,0,0,0,228107.9968,0,0,0,0,0,0,0,0,0,0,0,0,1070.162486,0,0,0,0,0,0,0,0,0,0,0,0,229178.1593
11,Pertambangan Migas,49.07293409,0,0,0,0,0,0,0,0,0,510269.3832,0,0,0,0,0,0,0,0,0,0,0,467.1786871,0,0,0,0,0,0,0,0,0,0,0,0,510785.6348
12,Pertambangan Non Migas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,122900.9927,0,0,0,0,0,0,0,0,9098284.857,594.7256448,0,0,0,0,0,0,0,0,0,0,0,0,9221780.576
14,Industri Makanan dan Minuman,0,0,0,0,0,0,0,0,1368.828444,283202.185,453465.2649,0,0,2981.175482,0,0,0,0,0,0,30247.83719,3315.970994,544582.8248,716456.2908,11135.051,15.25326836,0,982.6239697,0,37.29421057,0,35709.09006,0,6374.837434,0,2089874.527
