,Nama Sektor,Padi,Tanaman Bahan Makanan lainnya,Kopi,Karet,Kelapa Sawit,Tanaman Perkebunan lainnya,Peternakan dan Hasil-hasilnya,Kehutanan,Perikanan,Pertambangan Migas,Pertambangan Non Migas,Penggalian,Industri Penggilingan Padi,Industri Minyak Hewani dan Nabati,Industri Makanan dan Minuman lainnya,Industri Tekstil dan Pakain Jadi,"Industri Kayu,barang-barang dari kayu dan Furniture",Industri Karet dan barang-barang dari karet,Industri Kimia dan barang-barang dr kimia,Industri Bubur Kertas (Pulp) dan barang2 dari kertas,Industri Barang Galian Bukan Logam,"Industri Barang dari logam, bukan mesin dan perlatan",Industri Kendaraan bermotor dan alat angkutan,Industri Migas,Industri barang-barang lainnya,"Listrik,  Gas dan Air bersih",Bangunan,Perdagangan,Hotel dan Restoran,Angkutan jalan raya,"Angkutan sungai, danau dan penyeberangan",Angkutan udara,Jasa penunjang angkutan,Komunikasi,Bank dan lembaga keuangan lainnya,Real Estate dan Jasa Perusahaan,Pemerintahan umum,Jasa Pendidikan,Jasa Kesehatan dan Kegiatan Sosial,Jasa-jasa lainnya,Kegiatan yang tak jelas batasannya,180
29,Hotel dan Restoran,49724.05481,1039.401446,1294.729486,8431.597253,936.4455242,1184.247589,1227.92546,22653.48385,1840.308085,52227.95911,34109.60588,1877.592642,775.6395713,233928.9579,1888.195485,43.83076636,933.2301421,15603.70167,6483.498906,11120.16306,1321.854432,589.8273419,118.8641298,245736.3442,5016.870159,10981.72379,264087.9139,43603.78374,40928.80248,9449.560474,34.39663378,246.1378047,48.11779424,317627.7838,1560470.619,266.853713,102134.2893,200063.2013,46602.53407,38623.63388,0,3335277.681
30,Angkutan jalan raya,82591.50923,218.2743038,17293.51953,42626.40834,10862.76808,19137.44104,18769.71774,74643.2293,18026.19715,23556.44248,15384.4987,15133.44293,1855.925656,168646.458,4518.014002,632.6240611,8378.7182,75763.03707,31480.32296,12017.72935,4748.562127,2118.865519,427.001409,4959.361134,101.2486409,3807.676824,102696.493,1794706.433,18493.50511,60840.05752,108.1808312,0,331.7558371,13659.22295,8394.462462,19359.41282,26703.94506,28201.36721,6569.199971,8092.51328,0,2745855.543
31,"Angkutan sungai, danau dan penyeberangan",14436.01591,103.9401446,6097.760781,936.8441393,936.4455242,1184.247589,25318.65353,144798.2371,489.9048181,37.02933631,24.18352333,79.15656231,52.34794645,168646.458,127.4343906,818.1743053,442.7008318,2414.28732,1003.161271,108.1692676,460.9640445,205.6876994,41.45092582,0,0,1.519736874,342.1249331,3874.837963,556.7409537,5.940164606,3072.88819,0,1.365686891,48.13774109,252.7529396,1521.990369,56.10386721,644.2720076,150.0761159,184.8768444,0,379476.8825
32,Angkutan udara,0,20.78802893,64.73647429,2164.109962,15966.39619,13861.61803,1754.179228,70.79213704,0,0,0,0,0,244809.3746,3571.037701,1294.468633,0,0,0,0,0,0,0,98964.05143,2020.41663,0,0,11181.97154,0,0,0,0,0,84128.67278,0,41766.51119,0,0,0,0,0,521639.1245
33,Jasa penunjang angkutan,4374.550277,831.5211572,6829.698038,3747.376557,2528.402915,3197.46849,1812.651869,0,0,0,0,0,21.75336922,5440.208324,52.95579938,87.66153271,63.86232551,1067.784494,443.6754653,760.9692843,0,0,0,19366.30523,395.3759429,0,0,1352.534173,35.70681018,6873.525213,1017.388669,0,590.4157519,3.030166827,17.17392498,0,5753.894109,1288.221553,300.0771178,369.6611569,0,68623.84971
34,Komunikasi,1458.183426,7951.421066,10098.88999,8431.597253,20274.0456,8485.133974,25207.55551,30582.2032,883.5974434,38706.09421,52855.25181,550.5325903,1148.386474,294315.2703,127406.6895,956.9717321,1070.196798,6404.727449,2661.230283,13766.64514,14.6014898,6.51536032,1.312998872,74167.24576,1514.173425,144.877899,31889.872,11227.42049,8866.665998,628.2484864,11.50361615,984.5512189,13.00019919,415762.6482,491325.1333,9988.259986,25248.44956,844107.3014,196625.5614,127993.5325,0,2893735.499
35,Bank dan lembaga keuangan lainnya,12686.1958,218.2743038,226704.6618,43966.57246,36615.02,46304.08072,18249.31124,51819.84432,18687.86367,23582.82503,30345.45553,92727.32692,1088.152821,235561.0204,224041.3504,647.2343165,2713.209065,360010.0175,17110.43433,47869.54515,6364.21435,2839.788967,572.2844983,11132.52213,227.2778096,3507.263387,82772.11711,38781.95366,7510.511035,4581.000133,2417.014897,5168.893899,2193.492501,30677.71452,14150.09537,32914.87588,15544.60714,17572.30049,4093.275159,104275.7269,0,1878245.326
36,Real Estate dan Jasa Perusahaan,0,0,323.6823715,936.8441393,936.4455242,1184.247589,58.47264094,0,45449.7684,47909.91077,31289.52772,193778.7196,10971.79884,2176.08333,30750.60242,94.96666044,270.0694371,307218.2789,301235.6957,3218.087418,51900.14317,23158.46794,4666.977849,5207.329191,106.311073,0,0,3078531.671,400492.2107,62581.11704,5427.130034,492.2756094,93457.33454,155643.2649,37.71986914,289679.9109,0,2550.363897,594.079369,731.8387634,0,5153061.347
37,Pemerintahan umum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Jasa Pendidikan,0,0,647.3647429,8431.597253,93.64455242,118.4247589,1754.179228,0,0,3551.433327,0,0,0,544.0208324,0,58.44102181,0,0,0,0,0,0,0,2479.680567,50.62432047,0,0,0,531.566442,0,0,0,207.9139812,0,0,31627.1189,2051.513172,1201110.017,62334.97373,117595.2707,0,1433187.785
39,Jasa Kesehatan dan Kegiatan Sosial,1458.183426,207.8802893,323.6823715,8431.597253,1498.312839,1894.796142,175.4179228,0,35227.5132,67489.19319,44076.57929,50550.97033,9728.878742,1632.062497,23683.71289,794.7978966,3387.563976,56310.22398,23397.47858,47838.43242,2327.431994,1850.197821,184.4993896,7687.009758,156.9353935,4203.755389,66449.67634,32017.01711,15498.42474,74449.94958,4826.503633,738.4134142,44930.21133,15147.763,8171.351158,150633.5537,25682.09233,10263.66347,2390.808121,2945.205894,0,848661.7408
40,Jasa-jasa lainnya,307676.7028,32440.75855,36317.16208,71715.41886,70501.5962,8915.77173,19945.01783,22087.14676,43659.16467,10976.6178,20251.31216,86824.34477,1466.923406,233928.9579,1190.3459,3084.224926,0,205849.8889,0,0,0,0,65.42823862,21914.3124,447.3951962,0,0,0,0,0,0,0,0,0,0,0,0,66419.42387,15471.67817,114339.2233,0,1395488.816
41,Kegiatan yang tak jelas batasannya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Input Antara,3872094.098,227823.7243,1013091.721,2611481.362,599182.0969,720674.9208,421324.73,575157.3759,842114.3239,3049509.485,1290029.169,1318545.804,10544218.47,24152551.83,1089229.992,47055.02745,647394.383,10954388.39,2761781.357,5416310.824,363819.3034,172984.9843,34737.62603,9134899.485,53447.4973,385295.7854,26133186.91,7669432.439,840191.0284,1391513.907,195115.9836,804291.6011,148897.645,1193386.426,2461134.662,1292433.431,662433.9105,4033732.835,860187.6953,1248323.437,0,131233405.7
200,Impor,325342.0833,13631.3852,28734.86355,44498.01699,190916.2384,241436.4628,12713.24383,128634.1599,340997.0313,1065256.735,1459264.561,2342446.253,132264.1062,284258.1962,321980.0759,11855.90968,1174.549379,358358.2153,946755.2425,292472.2145,258750.772,106123.5044,21500.89016,52073.29191,5478.794617,2338.175591,258900.577,2404087.368,219853.1412,36570.52638,8575.568855,2215.240243,10187.78508,458370.83,19295.5846,103556.433,1061004.731,535380.8218,96631.83468,84543.989,0,14288429.4
