Kode I-O,Sektor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,180
24,Hotel dan Restoran,73.55310126,0.500874999,0,44.79619466,2763.078945,420446.3893,82536.42569,7677.97246,906.0579867,537.4073526,37830.086,0,221.7343611,19.64527163,7769.332324,372.4791782,0,0,0,0,20370.72814,39385.30562,7211.840961,8390.710751,3340.875458,3.450205953,0,12.53447171,8466.402403,0,54.85222584,26161.584,1476.386991,572.7350714,0,676646.8653
25,Angkutan jalan raya,980.7127476,10.41132429,73.93186264,31.10495858,18819.98438,333872.6125,48692.3214,3490.098646,2605.513121,4580.800156,17062.55156,0,1787.18441,47.00658009,69754.54736,402.543913,0,0,0,0,7063.112398,15315.85714,15823.03639,3791.306922,6711.453679,10.85124057,0,86.42092223,1430.036171,319.3066317,3979.359598,6840.185665,1274.850371,1488.082227,0,566345.1843
26,"Angkutan sungai, danau dan penyeberangan",2.50168933,0.027804174,0.056110393,0.107797675,176.989745,1406.352309,76.56114474,8.905080339,1.633946404,6.323032768,26.82132331,0,9.347996672,1.325860187,3685.575216,3.623220241,0,0,0,0,2.81906077,51.02352035,640.8782161,114.1360612,2.100134731,308.2306598,0,0.35575537,5.039723798,9.614158163,312.8476591,14.37094285,73.38651651,175.9696495,0,7116.924335
27,Angkutan udara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Jasa penunjang angkutan,0.645301029,0,0,0.078358177,11.56967823,92.16893657,0,0,0,0,0,0,0,0.550965762,531.6669571,25.48930371,0,0,0,0,0,0,223.702177,7.320163256,2430.12273,102.0506967,0,153.8006813,0.317239728,0.653257807,0,1473.853542,146.7363027,92.03462248,0,5292.760913
29,Komunikasi,0.267620085,0.481125563,0.697471906,13.27301085,1879.272081,32140.77749,13399.5765,1225.424817,297.1598079,185.9815969,799.7892571,0,65.01516327,29.08614394,8909.607825,461.1253126,0,0,0,0,268.7436283,4755.963028,1856.957449,1817.732873,222.1161456,1.153887476,0,3.386494156,1963.955933,11.48206435,2053.103501,6467.362121,151.8093831,178.4578847,0,79159.75962
30,Bank dan lembaga keuangan lainnya,569.8864192,8.933109286,4.315679872,7.367057324,1087.754793,10191.4258,21335.96124,2082.247587,1232.815508,476.2175743,14422.41046,0,381.062785,13.71985576,1755.55208,84.16509538,0,0,0,0,1218.275464,1426.390409,3790.73389,1701.343526,1365.604789,12.20086509,0,167.595024,874.5982188,676.9527805,1627.087623,979.5336191,1797.14047,807.7206547,0,70099.01237
31,Sewa bangunan,3416.352754,5.46675181,8.77071815,0,49717.32302,0,0,29701.91063,0,9566.370488,34702.40989,0,22884.30388,277.8919184,2248.383451,107.7925341,0,0,0,0,0,0,220202.4424,82103.89981,22125.44368,544.3764197,0,12264.72708,16294.8873,1.434779704,59544.18888,0,96.75626484,5427.601919,0,571242.7345
32,Pemerintahan umum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32688.25207,0,0,0,32688.25207
33,Jasa sosial kemasyarakatan,23.57489811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.975098,0,0,0,0,0,0,6501.007046,0,20566.31113,0,0,27199.86818
34,Jasa-jasa lainnya,2753.817092,44.83829873,64.3664688,114.8629446,60943.81531,179629.5584,50123.73126,4010.158951,2032.838459,13491.0353,48884.19969,0,5969.818404,246.4114424,28202.16484,1602.388372,0,0,0,0,7797.824811,9910.112023,5295.449516,3177.293037,26321.64851,484.1296876,0,325.5330008,1585.877109,310.8199753,30962.97822,6578.439231,1169.093954,26914.96751,0,518948.1718
35,Sektor-sektor yang tidak jelas batasannya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Input Antara,333291.7721,2053.304962,4791.48581,10507.39179,1164845.684,6099865.449,4764086.812,208799.385,64102.14286,400339.046,1030632.451,0,134893.7522,24412.26627,5387681.64,29836.71342,0,0,0,0,91408.96791,5416209.358,582089.4163,444650.6167,101800.9555,1904.095385,0,15022.49142,37225.03571,3822.740982,125041.258,178838.9942,55302.83318,46451.81892,0,26759907.88
