"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
71,0.09,418532.58,9805200.93,0,0.09
113,0.07,378532.58,9795200.93,0,0.16
161,0.1,398532.58,9785200.93,0,0.26
763,0.07,438532.58,9655200.93,0,0.33
863,0.08,518532.58,9635200.93,0.57,0.41
728,0.05,548532.58,9665200.93,2,0.46
211,0.02,438532.58,9775200.93,2.34,0.47
259,0.01,458532.58,9765200.93,2.34,0.48
772,0.06,528532.58,9655200.93,3.47,0.54
587,0.07,518532.58,9695200.93,3.54,0.61
444,0.02,468532.58,9725200.93,4.88,0.63
774,0.03,548532.58,9655200.93,5.36,0.66
545,0.01,558532.58,9705200.93,5.59,0.67
636,0.03,548532.58,9685200.93,5.65,0.71
957,0.05,538532.58,9615200.93,6.07,0.76
712,0.02,388532.58,9665200.93,6.25,0.78
909,0.08,518532.58,9625200.93,6.25,0.86
114,0.11,388532.58,9795200.93,6.6,0.97
116,0.08,408532.58,9795200.93,6.6,1.05
773,0.06,538532.58,9655200.93,6.71,1.11
910,0.08,528532.58,9625200.93,6.97,1.19
933,0,298532.58,9615200.93,7.03,1.19
820,0.05,548532.58,9645200.93,7.07,1.24
637,0.05,558532.58,9685200.93,7.14,1.29
911,0.05,538532.58,9625200.93,7.66,1.34
583,0.02,478532.58,9695200.93,7.81,1.37
724,0.02,508532.58,9665200.93,7.81,1.39
725,0.03,518532.58,9665200.93,7.99,1.43
402,0.01,508532.58,9735200.93,8.22,1.43
633,0.04,518532.58,9685200.93,8.33,1.47
208,0.04,408532.58,9775200.93,8.48,1.51
999,0.06,498532.58,9605200.93,9.38,1.57
543,0.02,538532.58,9705200.93,9.62,1.59
400,0.01,488532.58,9735200.93,10.06,1.6
546,0.01,568532.58,9705200.93,10.64,1.61
580,0.01,448532.58,9695200.93,12.72,1.62
441,0,438532.58,9725200.93,14.29,1.62
585,0,498532.58,9695200.93,19.38,1.62
1002,0.05,528532.58,9605200.93,25.68,1.67
212,0,448532.58,9775200.93,26.56,1.68
586,0.02,508532.58,9695200.93,29.69,1.69
758,0.02,388532.58,9655200.93,29.69,1.71
757,0.01,378532.58,9655200.93,29.79,1.72
760,0.05,408532.58,9655200.93,31.92,1.77
722,0.01,488532.58,9665200.93,36.72,1.79
301,0,418532.58,9755200.93,83.44,1.79
155,0,338532.58,9785200.93,83.48,1.79
291,0,318532.58,9755200.93,83.51,1.79
293,0,338532.58,9755200.93,83.55,1.79
296,0,368532.58,9755200.93,83.59,1.79
353,0,478532.58,9745200.93,83.63,1.79
436,0,388532.58,9725200.93,83.66,1.79
512,0,228532.58,9705200.93,83.7,1.79
538,0,488532.58,9705200.93,83.74,1.79
800,0,348532.58,9645200.93,83.78,1.79
838,0,268532.58,9635200.93,83.81,1.79
892,0,348532.58,9625200.93,83.85,1.79
895,0,378532.58,9625200.93,83.89,1.79
917,0,598532.58,9625200.93,83.93,1.79
935,0,318532.58,9615200.93,83.96,1.79
938,0,348532.58,9615200.93,84,1.79
1008,0,588532.58,9605200.93,84.04,1.79
1090,0,488532.58,9585200.93,84.08,1.79
1159,0,258532.58,9565200.93,84.11,1.79
1175,0,418532.58,9565200.93,84.15,1.79
1176,0,428532.58,9565200.93,84.19,1.79
1186,0,528532.58,9565200.93,84.23,1.79
1208,0,288532.58,9555200.93,84.26,1.79
1253,0,278532.58,9545200.93,84.3,1.79
1256,0,308532.58,9545200.93,84.34,1.79
1257,0,318532.58,9545200.93,84.38,1.79
1258,0,328532.58,9545200.93,84.41,1.79
1318,0,468532.58,9535200.93,84.45,1.79
1399,0,358532.58,9515200.93,84.49,1.79
1444,0,348532.58,9505200.93,84.53,1.79
201,0,338532.58,9775200.93,84.56,1.79
290,0,308532.58,9755200.93,84.6,1.79
380,0,288532.58,9735200.93,84.64,1.79
511,0,218532.58,9705200.93,84.68,1.79
557,0,218532.58,9695200.93,84.71,1.79
732,0,588532.58,9665200.93,84.75,1.79
734,0,608532.58,9665200.93,84.79,1.79
746,0,268532.58,9655200.93,84.83,1.79
826,0,608532.58,9645200.93,84.86,1.79
942,0,388532.58,9615200.93,84.9,1.79
961,0,578532.58,9615200.93,84.94,1.79
977,0,278532.58,9605200.93,84.98,1.79
988,0,388532.58,9605200.93,85.01,1.79
1116,0,288532.58,9575200.93,85.05,1.79
1128,0,408532.58,9575200.93,85.09,1.79
1220,0,408532.58,9555200.93,85.13,1.79
1261,0,358532.58,9545200.93,85.17,1.79
1267,0,418532.58,9545200.93,85.2,1.79
1268,0,428532.58,9545200.93,85.24,1.79
1307,0,358532.58,9535200.93,85.28,1.79
358,0,528532.58,9745200.93,85.32,1.79
384,0,328532.58,9735200.93,85.35,1.79
390,0,388532.58,9735200.93,85.39,1.79
886,0,288532.58,9625200.93,85.43,1.79
903,0,458532.58,9625200.93,85.47,1.79
