"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
553,0.07,178532.58,9695200.93,0,0.07
554,0.11,188532.58,9695200.93,0,0.18
555,0.09,198532.58,9695200.93,0,0.27
600,0.12,188532.58,9685200.93,0,0.39
601,0.12,198532.58,9685200.93,0,0.5
602,0.11,208532.58,9685200.93,0,0.62
603,0.11,218532.58,9685200.93,0,0.73
604,0.07,228532.58,9685200.93,0,0.8
647,0.12,198532.58,9675200.93,0,0.92
648,0.12,208532.58,9675200.93,0,1.03
649,0.11,218532.58,9675200.93,0,1.15
650,0.07,228532.58,9675200.93,0,1.21
693,0.08,198532.58,9665200.93,0,1.29
694,0.09,208532.58,9665200.93,0,1.39
695,0.11,218532.58,9665200.93,0,1.5
696,0.11,228532.58,9665200.93,0,1.61
697,0.08,238532.58,9665200.93,0,1.69
742,0.12,228532.58,9655200.93,0,1.81
743,0.1,238532.58,9655200.93,0,1.91
788,0.12,228532.58,9645200.93,0,2.02
835,0.1,238532.58,9635200.93,0,2.12
1117,0.08,298532.58,9575200.93,0,2.21
1207,0.07,278532.58,9555200.93,0,2.28
1208,0.08,288532.58,9555200.93,0,2.36
1308,0.05,368532.58,9535200.93,0,2.41
1349,0.07,318532.58,9525200.93,0,2.48
1350,0.1,328532.58,9525200.93,0,2.58
1352,0.1,348532.58,9525200.93,0,2.68
1397,0.11,338532.58,9515200.93,0,2.79
1118,0.08,308532.58,9575200.93,0.43,2.87
1301,0.09,298532.58,9535200.93,3.66,2.96
1306,0.06,348532.58,9535200.93,3.71,3.02
1168,0.04,348532.58,9565200.93,3.78,3.06
1303,0.07,318532.58,9535200.93,5.22,3.13
1070,0.02,288532.58,9585200.93,5.36,3.15
1585,0.03,378532.58,9475200.93,7.37,3.17
1587,0.03,398532.58,9475200.93,7.39,3.2
1355,0.04,378532.58,9525200.93,8.21,3.23
1492,0.03,368532.58,9495200.93,11.2,3.26
1300,0.04,288532.58,9535200.93,14.11,3.3
1214,0.04,348532.58,9555200.93,18.4,3.34
1491,0.01,358532.58,9495200.93,24.38,3.36
1586,0.01,388532.58,9475200.93,25,3.37
1402,0.01,388532.58,9515200.93,29.17,3.38
1445,0.01,358532.58,9505200.93,29.69,3.39
1448,0.02,388532.58,9505200.93,38.35,3.41
1254,0.01,288532.58,9545200.93,43.75,3.42
850,0,388532.58,9635200.93,44.2,3.42
940,0,368532.58,9615200.93,44.64,3.42
1315,0,438532.58,9535200.93,45.09,3.42
1536,0,348532.58,9485200.93,45.54,3.42
895,0,378532.58,9625200.93,45.98,3.42
1021,0,258532.58,9595200.93,46.43,3.42
1032,0,368532.58,9595200.93,46.88,3.42
1072,0,308532.58,9585200.93,47.32,3.42
652,0,248532.58,9675200.93,47.77,3.42
1020,0,248532.58,9595200.93,48.21,3.42
1031,0,358532.58,9595200.93,48.66,3.42
1167,0,338532.58,9565200.93,49.11,3.42
513,0,238532.58,9705200.93,49.55,3.43
1065,0,238532.58,9585200.93,50,3.43
1205,0,258532.58,9555200.93,50.45,3.43
1347,0,298532.58,9525200.93,50.89,3.43
1114,0,268532.58,9575200.93,51.34,3.43
993,0,438532.58,9605200.93,51.79,3.43
937,0,338532.58,9615200.93,52.23,3.43
1590,0,428532.58,9475200.93,52.68,3.43
1215,0,358532.58,9555200.93,53.12,3.43
1166,0,328532.58,9565200.93,53.57,3.43
1401,0,378532.58,9515200.93,54.02,3.43
1346,0,288532.58,9525200.93,54.46,3.43
1356,0,388532.58,9525200.93,54.91,3.43
1493,0,378532.58,9495200.93,55.36,3.43
1635,0,418532.58,9465200.93,55.8,3.43
881,0,238532.58,9625200.93,56.25,3.43
1310,0,388532.58,9535200.93,56.7,3.43
1631,0,378532.58,9465200.93,57.14,3.43
1447,0,378532.58,9505200.93,57.59,3.43
1632,0,388532.58,9465200.93,58.04,3.44
1261,0,358532.58,9545200.93,58.48,3.44
1169,0,358532.58,9565200.93,58.93,3.44
1024,0,288532.58,9595200.93,59.38,3.44
1265,0,398532.58,9545200.93,59.82,3.44
1069,0,278532.58,9585200.93,60.27,3.44
983,0,338532.58,9605200.93,60.71,3.45
833,0,218532.58,9635200.93,61.16,3.45
978,0,288532.58,9605200.93,61.61,3.45
1112,0,248532.58,9575200.93,62.05,3.45
1111,0,238532.58,9575200.93,62.5,3.45
511,0,218532.58,9705200.93,62.95,3.46
1162,0,288532.58,9565200.93,63.39,3.46
1264,0,388532.58,9545200.93,63.84,3.46
1158,0,248532.58,9565200.93,64.29,3.47
1023,0,278532.58,9595200.93,64.73,3.47
1299,0,278532.58,9535200.93,65.18,3.47
1159,0,258532.58,9565200.93,65.62,3.48
1163,0,298532.58,9565200.93,66.07,3.48
1636,0,428532.58,9465200.93,66.52,3.48
692,0,188532.58,9665200.93,66.96,3.49
1071,0,298532.58,9585200.93,67.41,3.49
1584,0,368532.58,9475200.93,67.86,3.49
1354,0,368532.58,9525200.93,68.3,3.5
1115,0,278532.58,9575200.93,68.75,3.5
1213,0.01,338532.58,9555200.93,69.2,3.51
1120,0.01,328532.58,9575200.93,69.64,3.51
1443,0.01,338532.58,9505200.93,70.09,3.52
1630,0.01,368532.58,9465200.93,70.54,3.53
651,0.01,238532.58,9675200.93,70.98,3.53
1260,0.01,348532.58,9545200.93,71.43,3.54
1588,0.01,408532.58,9475200.93,71.88,3.55
1490,0.01,348532.58,9495200.93,72.32,3.56
1540,0.01,388532.58,9485200.93,72.77,3.56
1537,0.01,358532.58,9485200.93,73.21,3.57
1541,0.01,398532.58,9485200.93,73.66,3.58
1538,0.01,368532.58,9485200.93,74.11,3.59
977,0.01,278532.58,9605200.93,74.55,3.6
1253,0.01,278532.58,9545200.93,75,3.61
512,0.01,228532.58,9705200.93,75.45,3.62
1488,0.01,328532.58,9495200.93,75.89,3.63
1255,0.01,298532.58,9545200.93,76.34,3.64
1252,0.01,268532.58,9545200.93,76.79,3.65
1399,0.01,358532.58,9515200.93,77.23,3.66
557,0.01,218532.58,9695200.93,77.68,3.67
1256,0.01,308532.58,9545200.93,78.12,3.68
1348,0.01,308532.58,9525200.93,78.57,3.7
1257,0.01,318532.58,9545200.93,79.02,3.71
1209,0.01,298532.58,9555200.93,79.46,3.72
1634,0.01,408532.58,9465200.93,79.91,3.74
508,0.01,188532.58,9705200.93,80.36,3.75
1583,0.01,358532.58,9475200.93,80.8,3.76
1441,0.01,318532.58,9505200.93,81.25,3.78
1206,0.02,268532.58,9555200.93,81.7,3.79
744,0.02,248532.58,9655200.93,82.14,3.81
1395,0.02,318532.58,9515200.93,82.59,3.82
1165,0.02,318532.58,9565200.93,83.04,3.84
1633,0.02,398532.58,9465200.93,83.48,3.86
1305,0.02,338532.58,9535200.93,83.93,3.88
510,0.02,208532.58,9705200.93,84.38,3.89
558,0.02,228532.58,9695200.93,84.82,3.91
1307,0.02,358532.58,9535200.93,85.27,3.93
975,0.02,258532.58,9605200.93,85.71,3.95
698,0.02,248532.58,9665200.93,86.16,3.97
1353,0.02,358532.58,9525200.93,86.61,3.99
1164,0.02,308532.58,9565200.93,87.05,4.01
1022,0.02,268532.58,9595200.93,87.5,4.03
790,0.02,248532.58,9645200.93,87.95,4.05
787,0.02,218532.58,9645200.93,88.39,4.07
1442,0.02,328532.58,9505200.93,88.84,4.1
836,0.02,248532.58,9635200.93,89.29,4.12
1161,0.02,278532.58,9565200.93,89.73,4.14
1539,0.02,378532.58,9485200.93,90.18,4.16
1160,0.02,268532.58,9565200.93,90.62,4.19
1258,0.03,328532.58,9545200.93,91.07,4.21
976,0.03,268532.58,9605200.93,91.52,4.24
1489,0.03,338532.58,9495200.93,91.96,4.27
1444,0.04,348532.58,9505200.93,92.41,4.31
1116,0.04,288532.58,9575200.93,92.86,4.34
556,0.04,208532.58,9695200.93,93.3,4.38
741,0.04,218532.58,9655200.93,93.75,4.42
599,0.04,178532.58,9685200.93,94.2,4.46
646,0.05,188532.58,9675200.93,94.64,4.51
509,0.05,198532.58,9705200.93,95.09,4.56
1119,0.05,318532.58,9575200.93,95.54,4.61
1259,0.05,338532.58,9545200.93,95.98,4.67
1309,0.06,378532.58,9535200.93,96.43,4.72
1351,0.06,338532.58,9525200.93,96.88,4.78
1304,0.06,328532.58,9535200.93,97.32,4.84
834,0.06,228532.58,9635200.93,97.77,4.91
1396,0.07,328532.58,9515200.93,98.21,4.97
1398,0.07,348532.58,9515200.93,98.66,5.04
789,0.08,238532.58,9645200.93,99.11,5.12
1302,0.08,308532.58,9535200.93,99.55,5.21
1302,100,308532.58,9535200.93,100,5.21
