"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
165,0.1,438532.58,9785200.93,0,0.1
354,0.05,488532.58,9745200.93,0,0.15
405,0.03,538532.58,9735200.93,0,0.18
406,0.03,548532.58,9735200.93,0,0.21
211,0.08,438532.58,9775200.93,0.56,0.29
444,0.03,468532.58,9725200.93,3.46,0.32
398,0.04,468532.58,9735200.93,5.21,0.36
546,0.01,568532.58,9705200.93,5.69,0.37
402,0.06,508532.58,9735200.93,7.16,0.42
213,0.1,458532.58,9775200.93,8.33,0.52
400,0.03,488532.58,9735200.93,9.77,0.55
212,0.08,448532.58,9775200.93,10.55,0.62
119,0.09,438532.58,9795200.93,24.83,0.72
259,0.06,458532.58,9765200.93,33.53,0.78
116,0,408532.58,9795200.93,34.1,0.78
392,0,408532.58,9735200.93,34.66,0.78
583,0,478532.58,9695200.93,35.23,0.78
678,0,508532.58,9675200.93,35.8,0.78
722,0,488532.58,9665200.93,36.37,0.78
772,0,528532.58,9655200.93,36.94,0.78
958,0,548532.58,9615200.93,37.51,0.78
997,0,478532.58,9605200.93,38.07,0.78
1043,0,478532.58,9595200.93,38.64,0.78
1044,0,488532.58,9595200.93,39.21,0.78
1047,0,518532.58,9595200.93,39.78,0.78
1049,0,538532.58,9595200.93,40.35,0.78
1095,0,538532.58,9585200.93,40.91,0.78
582,0,468532.58,9695200.93,41.48,0.78
587,0,518532.58,9695200.93,42.05,0.78
629,0,478532.58,9685200.93,42.62,0.78
673,0,458532.58,9675200.93,43.19,0.78
719,0,458532.58,9665200.93,43.76,0.78
721,0,478532.58,9665200.93,44.32,0.78
918,0,608532.58,9625200.93,44.89,0.78
957,0,538532.58,9615200.93,45.46,0.78
1003,0,538532.58,9605200.93,46.03,0.78
449,0,518532.58,9725200.93,46.6,0.78
674,0,468532.58,9675200.93,47.16,0.78
962,0,588532.58,9615200.93,47.73,0.78
1009,0,598532.58,9605200.93,48.3,0.78
1048,0,528532.58,9595200.93,48.87,0.78
71,0,418532.58,9805200.93,49.44,0.78
495,0,518532.58,9715200.93,50,0.78
634,0,528532.58,9685200.93,50.57,0.78
734,0,608532.58,9665200.93,51.14,0.78
496,0,528532.58,9715200.93,51.71,0.78
680,0,528532.58,9675200.93,52.28,0.78
767,0,478532.58,9655200.93,52.85,0.78
873,0,618532.58,9635200.93,53.41,0.78
963,0,598532.58,9615200.93,53.98,0.78
1008,0,588532.58,9605200.93,54.55,0.78
215,0,478532.58,9775200.93,55.12,0.78
584,0,488532.58,9695200.93,55.69,0.78
1140,0,528532.58,9575200.93,56.25,0.78
588,0,528532.58,9695200.93,56.82,0.78
675,0,478532.58,9675200.93,57.39,0.78
1094,0,528532.58,9585200.93,57.96,0.78
781,0,618532.58,9655200.93,58.53,0.79
446,0,488532.58,9725200.93,59.09,0.79
209,0,418532.58,9775200.93,59.66,0.79
724,0,508532.58,9665200.93,60.23,0.79
689,0,618532.58,9675200.93,60.8,0.79
771,0,518532.58,9655200.93,61.37,0.79
687,0,598532.58,9675200.93,61.94,0.79
770,0,508532.58,9655200.93,62.5,0.79
117,0,418532.58,9795200.93,63.07,0.79
686,0,588532.58,9675200.93,63.64,0.79
916,0,588532.58,9625200.93,64.21,0.79
216,0,488532.58,9775200.93,64.78,0.79
445,0,478532.58,9725200.93,65.34,0.79
447,0,498532.58,9725200.93,65.91,0.79
827,0,618532.58,9645200.93,66.48,0.79
26,0,428532.58,9815200.93,67.05,0.79
872,0,608532.58,9635200.93,67.62,0.79
489,0,458532.58,9715200.93,68.18,0.79
640,0,588532.58,9685200.93,68.75,0.79
452,0,548532.58,9725200.93,69.32,0.79
27,0,438532.58,9815200.93,69.89,0.79
168,0,468532.58,9785200.93,70.46,0.79
443,0,458532.58,9725200.93,71.03,0.79
917,0,598532.58,9625200.93,71.59,0.79
121,0,458532.58,9795200.93,72.16,0.8
735,0,618532.58,9665200.93,72.73,0.8
261,0,478532.58,9765200.93,73.3,0.8
163,0,418532.58,9785200.93,73.87,0.8
28,0,448532.58,9815200.93,74.43,0.8
547,0,578532.58,9705200.93,75,0.8
628,0,468532.58,9685200.93,75.57,0.81
688,0,608532.58,9675200.93,76.14,0.81
351,0,458532.58,9745200.93,76.71,0.81
306,0,468532.58,9755200.93,77.27,0.81
453,0,558532.58,9725200.93,77.84,0.82
442,0,448532.58,9725200.93,78.41,0.82
303,0,438532.58,9755200.93,78.98,0.83
396,0,448532.58,9735200.93,79.55,0.83
448,0,508532.58,9725200.93,80.12,0.84
262,0,488532.58,9765200.93,80.68,0.84
72,0,428532.58,9805200.93,81.25,0.85
548,0.01,588532.58,9705200.93,81.82,0.85
358,0.01,528532.58,9745200.93,82.39,0.86
357,0.01,518532.58,9745200.93,82.96,0.86
594,0.01,588532.58,9695200.93,83.52,0.87
257,0.01,438532.58,9765200.93,84.09,0.88
304,0.01,448532.58,9755200.93,84.66,0.88
210,0.01,428532.58,9775200.93,85.23,0.89
399,0.01,478532.58,9735200.93,85.8,0.91
490,0.01,468532.58,9715200.93,86.36,0.92
401,0.01,498532.58,9735200.93,86.93,0.93
403,0.01,518532.58,9735200.93,87.5,0.94
500,0.01,568532.58,9715200.93,88.07,0.96
355,0.02,498532.58,9745200.93,88.64,0.97
308,0.02,488532.58,9755200.93,89.21,1
408,0.02,568532.58,9735200.93,89.77,1.02
404,0.02,528532.58,9735200.93,90.34,1.04
120,0.02,448532.58,9795200.93,90.91,1.07
353,0.03,478532.58,9745200.93,91.48,1.09
118,0.03,428532.58,9795200.93,92.05,1.12
454,0.03,568532.58,9725200.93,92.61,1.16
352,0.04,468532.58,9745200.93,93.18,1.19
74,0.04,448532.58,9805200.93,93.75,1.23
260,0.04,468532.58,9765200.93,94.32,1.27
258,0.04,448532.58,9765200.93,94.89,1.32
407,0.05,558532.58,9735200.93,95.45,1.36
397,0.05,458532.58,9735200.93,96.02,1.41
167,0.05,458532.58,9785200.93,96.59,1.46
214,0.05,468532.58,9775200.93,97.16,1.51
164,0.06,428532.58,9785200.93,97.73,1.57
307,0.06,478532.58,9755200.93,98.3,1.63
73,0.06,438532.58,9805200.93,98.86,1.69
166,0.09,448532.58,9785200.93,99.43,1.79
166,100,448532.58,9785200.93,100,1.79
