"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
863,0.04,518532.58,9635200.93,5.53,0.04
545,0.01,558532.58,9705200.93,5.59,0.05
71,0.08,418532.58,9805200.93,5.65,0.12
402,0.01,508532.58,9735200.93,8.16,0.13
820,0.01,548532.58,9645200.93,9.57,0.14
909,0.02,518532.58,9625200.93,10.42,0.16
728,0.03,548532.58,9665200.93,11.46,0.19
114,0.02,388532.58,9795200.93,11.5,0.21
580,0,448532.58,9695200.93,12.26,0.22
113,0.01,378532.58,9795200.93,12.5,0.22
161,0.03,398532.58,9785200.93,12.5,0.25
772,0,528532.58,9655200.93,12.5,0.25
729,0,558532.58,9665200.93,17.97,0.25
400,0.01,488532.58,9735200.93,19.03,0.26
546,0.01,568532.58,9705200.93,20.92,0.27
933,0,298532.58,9615200.93,45.7,0.27
112,0,368532.58,9795200.93,45.96,0.27
291,0,318532.58,9755200.93,46.22,0.27
297,0,378532.58,9755200.93,46.48,0.27
377,0,258532.58,9735200.93,46.73,0.27
438,0,408532.58,9725200.93,46.99,0.27
468,0,248532.58,9715200.93,47.25,0.27
484,0,408532.58,9715200.93,47.5,0.27
499,0,558532.58,9715200.93,47.76,0.27
532,0,428532.58,9705200.93,48.02,0.27
576,0,408532.58,9695200.93,48.28,0.27
579,0,438532.58,9695200.93,48.53,0.27
582,0,468532.58,9695200.93,48.79,0.27
628,0,468532.58,9685200.93,49.05,0.27
723,0,498532.58,9665200.93,49.31,0.27
757,0,378532.58,9655200.93,49.56,0.27
800,0,348532.58,9645200.93,49.82,0.27
808,0,428532.58,9645200.93,50.08,0.27
838,0,268532.58,9635200.93,50.34,0.27
852,0,408532.58,9635200.93,50.59,0.27
892,0,348532.58,9625200.93,50.85,0.27
935,0,318532.58,9615200.93,51.11,0.27
938,0,348532.58,9615200.93,51.36,0.27
945,0,418532.58,9615200.93,51.62,0.27
950,0,468532.58,9615200.93,51.88,0.27
957,0,538532.58,9615200.93,52.14,0.27
958,0,548532.58,9615200.93,52.39,0.27
988,0,388532.58,9605200.93,52.65,0.27
991,0,418532.58,9605200.93,52.91,0.27
992,0,428532.58,9605200.93,53.17,0.27
1005,0,558532.58,9605200.93,53.42,0.27
1006,0,568532.58,9605200.93,53.68,0.27
