"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
165,0.09,438532.58,9785200.93,0,0.09
354,0.04,488532.58,9745200.93,0,0.14
405,0.03,538532.58,9735200.93,0,0.16
406,0.03,548532.58,9735200.93,0,0.2
211,0.08,438532.58,9775200.93,1.37,0.27
398,0.03,468532.58,9735200.93,7.11,0.31
212,0.08,448532.58,9775200.93,7.55,0.39
213,0.1,458532.58,9775200.93,8.33,0.48
259,0.06,458532.58,9765200.93,9.24,0.55
725,0,518532.58,9665200.93,9.38,0.55
546,0.01,568532.58,9705200.93,17.6,0.56
119,0.09,438532.58,9795200.93,21.35,0.65
444,0.03,468532.58,9725200.93,24.41,0.68
729,0,558532.58,9665200.93,29.69,0.68
116,0,408532.58,9795200.93,30.3,0.68
355,0,498532.58,9745200.93,30.91,0.68
667,0,398532.58,9675200.93,31.52,0.68
673,0,458532.58,9675200.93,32.13,0.68
676,0,488532.58,9675200.93,32.74,0.68
678,0,508532.58,9675200.93,33.36,0.68
711,0,378532.58,9665200.93,33.97,0.68
717,0,438532.58,9665200.93,34.58,0.68
721,0,478532.58,9665200.93,35.19,0.68
769,0,498532.58,9655200.93,35.8,0.68
918,0,608532.58,9625200.93,36.41,0.68
958,0,548532.58,9615200.93,37.02,0.68
1003,0,538532.58,9605200.93,37.64,0.68
1043,0,478532.58,9595200.93,38.25,0.68
155,0,338532.58,9785200.93,38.86,0.68
483,0,398532.58,9715200.93,39.47,0.68
587,0,518532.58,9695200.93,40.08,0.68
592,0,568532.58,9695200.93,40.69,0.68
684,0,568532.58,9675200.93,41.3,0.68
712,0,388532.58,9665200.93,41.92,0.68
802,0,368532.58,9645200.93,42.53,0.68
962,0,588532.58,9615200.93,43.14,0.68
201,0,338532.58,9775200.93,43.75,0.68
449,0,518532.58,9725200.93,44.36,0.68
495,0,518532.58,9715200.93,44.97,0.68
772,0,528532.58,9655200.93,45.58,0.68
1009,0,598532.58,9605200.93,46.2,0.68
1140,0,528532.58,9575200.93,46.81,0.68
71,0,418532.58,9805200.93,47.42,0.68
634,0,528532.58,9685200.93,48.03,0.68
734,0,608532.58,9665200.93,48.64,0.68
496,0,528532.58,9715200.93,49.25,0.68
628,0,468532.58,9685200.93,49.86,0.68
674,0,468532.58,9675200.93,50.48,0.68
679,0,518532.58,9675200.93,51.09,0.68
680,0,528532.58,9675200.93,51.7,0.68
588,0,528532.58,9695200.93,52.31,0.68
873,0,618532.58,9635200.93,52.92,0.68
768,0,488532.58,9655200.93,53.53,0.68
963,0,598532.58,9615200.93,54.14,0.68
27,0,438532.58,9815200.93,54.76,0.68
675,0,478532.58,9675200.93,55.37,0.68
26,0,428532.58,9815200.93,55.98,0.68
781,0,618532.58,9655200.93,56.59,0.68
545,0,558532.58,9705200.93,57.2,0.68
726,0,528532.58,9665200.93,57.81,0.68
689,0,618532.58,9675200.93,58.42,0.68
724,0,508532.58,9665200.93,59.04,0.68
770,0,508532.58,9655200.93,59.65,0.68
1008,0,588532.58,9605200.93,60.26,0.68
687,0,598532.58,9675200.93,60.87,0.68
447,0,498532.58,9725200.93,61.48,0.68
771,0,518532.58,9655200.93,62.09,0.68
686,0,588532.58,9675200.93,62.7,0.68
117,0,418532.58,9795200.93,63.32,0.68
916,0,588532.58,9625200.93,63.93,0.68
827,0,618532.58,9645200.93,64.54,0.68
872,0,608532.58,9635200.93,65.15,0.68
489,0,458532.58,9715200.93,65.76,0.68
452,0,548532.58,9725200.93,66.37,0.68
640,0,588532.58,9685200.93,66.98,0.68
168,0,468532.58,9785200.93,67.6,0.68
262,0,488532.58,9765200.93,68.21,0.68
443,0,458532.58,9725200.93,68.82,0.68
28,0,448532.58,9815200.93,69.43,0.69
917,0,598532.58,9625200.93,70.04,0.69
163,0,418532.58,9785200.93,70.65,0.69
401,0,498532.58,9735200.93,71.26,0.69
121,0,458532.58,9795200.93,71.88,0.69
735,0,618532.58,9665200.93,72.49,0.69
261,0,478532.58,9765200.93,73.1,0.69
688,0,608532.58,9675200.93,73.71,0.7
547,0,578532.58,9705200.93,74.32,0.7
350,0,448532.58,9745200.93,74.93,0.7
306,0,468532.58,9755200.93,75.54,0.7
400,0,488532.58,9735200.93,76.15,0.71
257,0,438532.58,9765200.93,76.77,0.71
448,0,508532.58,9725200.93,77.38,0.71
303,0,438532.58,9755200.93,77.99,0.72
357,0,518532.58,9745200.93,78.6,0.72
442,0,448532.58,9725200.93,79.21,0.73
396,0,448532.58,9735200.93,79.82,0.73
72,0,428532.58,9805200.93,80.43,0.73
358,0.01,528532.58,9745200.93,81.05,0.74
548,0.01,588532.58,9705200.93,81.66,0.74
453,0.01,558532.58,9725200.93,82.27,0.75
399,0.01,478532.58,9735200.93,82.88,0.76
594,0.01,588532.58,9695200.93,83.49,0.76
210,0.01,428532.58,9775200.93,84.1,0.77
304,0.01,448532.58,9755200.93,84.71,0.78
404,0.01,528532.58,9735200.93,85.33,0.79
490,0.01,468532.58,9715200.93,85.94,0.8
403,0.01,518532.58,9735200.93,86.55,0.81
351,0.01,458532.58,9745200.93,87.16,0.82
500,0.01,568532.58,9715200.93,87.77,0.84
308,0.02,488532.58,9755200.93,88.38,0.86
120,0.02,448532.58,9795200.93,88.99,0.88
408,0.02,568532.58,9735200.93,89.61,0.9
353,0.03,478532.58,9745200.93,90.22,0.93
118,0.03,428532.58,9795200.93,90.83,0.96
74,0.03,448532.58,9805200.93,91.44,0.99
352,0.03,468532.58,9745200.93,92.05,1.02
454,0.03,568532.58,9725200.93,92.66,1.06
260,0.04,468532.58,9765200.93,93.27,1.1
167,0.04,458532.58,9785200.93,93.89,1.14
258,0.04,448532.58,9765200.93,94.5,1.19
407,0.05,558532.58,9735200.93,95.11,1.23
214,0.05,468532.58,9775200.93,95.72,1.28
397,0.05,458532.58,9735200.93,96.33,1.33
402,0.05,508532.58,9735200.93,96.94,1.39
307,0.05,478532.58,9755200.93,97.55,1.44
164,0.05,428532.58,9785200.93,98.17,1.49
73,0.06,438532.58,9805200.93,98.78,1.55
166,0.09,448532.58,9785200.93,99.39,1.64
166,100,448532.58,9785200.93,100,1.64
