"ID.grid","Habitat Area (Ha)","X.cor","Y.cor","TECI(%)","Cumulative Habitat(%)"
953,0.01,498532.58,9615200.93,9.17,0.01
820,0.01,548532.58,9645200.93,9.57,0.02
863,0.03,518532.58,9635200.93,9.88,0.04
113,0,378532.58,9795200.93,12.5,0.05
772,0,528532.58,9655200.93,12.5,0.05
207,0.01,398532.58,9775200.93,12.89,0.05
728,0.03,548532.58,9665200.93,13.54,0.08
909,0.02,518532.58,9625200.93,15.21,0.1
71,0.07,418532.58,9805200.93,15.46,0.17
114,0.01,388532.58,9795200.93,15.62,0.17
545,0.01,558532.58,9705200.93,17.19,0.18
402,0.01,508532.58,9735200.93,18.28,0.19
729,0,558532.58,9665200.93,20.31,0.19
866,0.01,548532.58,9635200.93,20.51,0.2
118,0.04,428532.58,9795200.93,20.74,0.23
161,0.01,398532.58,9785200.93,21.88,0.24
400,0.01,488532.58,9735200.93,22.14,0.25
546,0.01,568532.58,9705200.93,22.25,0.25
69,0.01,398532.58,9805200.93,24.4,0.26
115,0.01,398532.58,9795200.93,27.49,0.27
117,0.06,418532.58,9795200.93,28.19,0.33
580,0,448532.58,9695200.93,31.01,0.33
253,0,398532.58,9765200.93,39.3,0.33
70,0.02,408532.58,9805200.93,44.69,0.34
932,0,288532.58,9615200.93,45.7,0.34
591,0.01,558532.58,9695200.93,45.9,0.35
933,0,298532.58,9615200.93,48.05,0.35
26,0,428532.58,9815200.93,55.08,0.35
74,0,448532.58,9805200.93,55.35,0.35
211,0,438532.58,9775200.93,55.63,0.35
260,0,468532.58,9765200.93,55.9,0.35
377,0,258532.58,9735200.93,56.18,0.35
468,0,248532.58,9715200.93,56.46,0.35
486,0,428532.58,9715200.93,56.73,0.35
488,0,448532.58,9715200.93,57.01,0.35
493,0,498532.58,9715200.93,57.28,0.35
532,0,428532.58,9705200.93,57.56,0.35
578,0,428532.58,9695200.93,57.83,0.35
579,0,438532.58,9695200.93,58.11,0.35
582,0,468532.58,9695200.93,58.39,0.35
716,0,428532.58,9665200.93,58.66,0.35
756,0,368532.58,9655200.93,58.94,0.35
757,0,378532.58,9655200.93,59.21,0.35
758,0,388532.58,9655200.93,59.49,0.35
800,0,348532.58,9645200.93,59.76,0.35
802,0,368532.58,9645200.93,60.04,0.35
838,0,268532.58,9635200.93,60.31,0.35
957,0,538532.58,9615200.93,60.59,0.35
958,0,548532.58,9615200.93,60.87,0.35
1005,0,558532.58,9605200.93,61.14,0.35
1006,0,568532.58,9605200.93,61.42,0.35
1008,0,588532.58,9605200.93,61.69,0.35
1040,0,448532.58,9595200.93,61.97,0.35
1090,0,488532.58,9585200.93,62.24,0.35
1444,0,348532.58,9505200.93,62.52,0.35
210,0,428532.58,9775200.93,62.79,0.35
380,0,288532.58,9735200.93,63.07,0.35
512,0,228532.58,9705200.93,63.35,0.35
530,0,408532.58,9705200.93,63.62,0.35
533,0,438532.58,9705200.93,63.9,0.35
557,0,218532.58,9695200.93,64.17,0.35
674,0,468532.58,9675200.93,64.45,0.35
717,0,438532.58,9665200.93,64.72,0.35
886,0,288532.58,9625200.93,65,0.35
912,0,548532.58,9625200.93,65.28,0.35
980,0,308532.58,9605200.93,65.55,0.35
1261,0,358532.58,9545200.93,65.83,0.35
1307,0,358532.58,9535200.93,66.1,0.35
289,0,298532.58,9755200.93,66.38,0.35
333,0,278532.58,9745200.93,66.65,0.35
338,0,328532.58,9745200.93,66.93,0.35
746,0,268532.58,9655200.93,67.2,0.35
954,0,508532.58,9615200.93,67.48,0.35
